Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
KSD880OFS-ND,FAIRCHILD SEMICONDUCTOR,KSD880O,Q1/Q2,2,0,0,TRANSISTOR NPN 60V 3A TO-220,,RoHS Compliant,Lead free,Unaffected Jun-2011
641-1312-1-ND,COMCHIP TECHNOLOGY (VA),1N4007-G,D3/D4,2,0,0,DIODE GEN PURPOSE 1000V 1A DO41,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2011
3352E-103LF-ND,BOURNS INC,3352E-1-103LF,RV1/RV2,2,0,0,POT 10K OHM THUMBWHEEL CERM ST,,RoHS Compliant,Lead free,Unaffected Jun-2011
10.0KXBK-ND,YAGEO,MFR-25FBF52-10K,R1/R3,2,0,0,RES 10K OHM 1/4W 1% AXIAL,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
100XBK-ND,YAGEO,MFR-25FBF52-100R,R2/R4,2,0,0,RES 100 OHM 1/4W 1% AXIAL,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
LM7805CT-ND,FAIRCHILD SEMICONDUCTOR,LM7805CT,U3,1,0,0,IC REG LDO 5V 1A TO220-3,,RoHS Compliant,Lead free,Unaffected Jun-2011
SAM1112-32-ND,SAMTEC INC,TS-132-T-A,CONNECTORS,2,0,0,CONN HEADER .100" 32POS TIN PCB,,RoHS Compliant,Lead free,Unaffected Jun-2012
732-3831-5-ND,WURTH ELECTRONICS INC,418117270901,SW1,1,0,0,DIP SWITCH 2.54MM PITCH 1POL 24V,,RoHS Compliant,Lead free,Not Available
365-1086-ND,TT ELECTRONICS/OPTEK TECHNOLOGY,OP999,U1/U2,2,0,0,PHOTODIODE 5MM PIN 890NM,,RoHS Compliant,Lead free,Unaffected Jun-2011
365-1060-ND,TT ELECTRONICS/OPTEK TECHNOLOGY,OP294,D1/D2,2,0,0,LED IR 5MM 890NM PLASTIC,,RoHS Compliant,Lead free,Unaffected Jun-2011
P14346-ND,NMB TECHNOLOGIES CORPORATION/MOTORS,PAN14EE12AA1,MOTORS,2,0,0,MOTOR BRUSHED DC 12V 12850RPM,,RoHS Compliant,Lead free,Unaffected Nov-2011
232K-ND,KEYSTONE ELECTRONICS,232,B1,1,0,0,STRAP BATT ECON 9V I STYLE 4"LD,,RoHS Compliant,Lead free,Unaffected Dec-2011
A34189-ND,TE CONNECTIVITY AMP,5-103957-2,,4,0,0,CONN RECPT 3POS .100 POLAR 15AU,Minimum / Multiple of 8,RoHS Compliant,Lead free,Unaffected Aug-2011
A28392-ND,TE CONNECTIVITY AMP,103956-1,,3,0,0,CONN RECPT 2POS .100 P0LAR TIN,Minimum / Multiple of 10,RoHS non-compliant,Contains lead,Unaffected Aug-2011
C2003L-5-ND,GENERAL CABLE/CAROL BRAND (VA),C2003A.12.07,,1,0,0,HOOK-UP SOLID 24AWG BLUE 5',No delivery date available,RoHS Compliant,Lead free,Not Available
C2003G-5-ND,GENERAL CABLE/CAROL BRAND (VA),C2003A.12.06,,1,0,0,HOOK-UP SOLID 24AWG GREEN 5',No delivery date available,RoHS Compliant,Lead free,Not Available
C2003R-5-ND,GENERAL CABLE/CAROL BRAND (VA),C2003A.12.03,,1,0,0,HOOK-UP SOLID 24AWG RED 5',No delivery date available,RoHS Compliant,Lead free,Not Available
